,id,adult,softcore
91,1683483,False,False
92,1247038,False,False
93,877244,False,False
94,1683484,False,False
95,353801,False,False
96,649367,False,False
97,73,False,False
98,142,False,False
99,1683312,False,False
0,1683485,False,False
1,61447,False,False
2,1683486,True,False
3,23728,False,False
4,1683487,False,False
5,13056,False,False
6,1682739,False,False
7,1680879,False,False
8,1365991,False,False
9,1683488,False,False
10,1681426,False,False
11,810345,False,False
12,1575389,False,False
13,8867,False,False
14,1683489,False,False
15,519406,False,False
16,365411,False,False
17,1683490,False,False
18,1040647,False,False
19,297802,False,False
20,927989,False,False
21,15157,False,False
22,889895,False,False
23,1286916,False,False
24,1671557,False,False
25,594767,False,False
26,776791,False,False
27,1661840,False,False
28,1683491,False,False
29,812160,False,False
30,42699,False,False
31,563,False,False
32,24130,False,False
33,1321219,False,False
34,713704,False,False
35,21972,False,False
36,28752,False,False
37,157336,False,False
38,1683376,False,False
39,1616983,False,False
40,16093,False,False
41,20235,False,False
42,1277872,False,False
43,898271,False,False
44,8840,False,False
45,1321220,False,False
46,13313,False,False
47,79785,False,False
48,860508,False,False
49,79073,False,False
50,11071,False,False
51,13378,False,False
52,1204680,False,False
53,1669934,False,False
54,1603350,False,False
55,63458,False,False
56,9451,False,False
57,19483,False,False
58,1633244,False,False
59,1683492,False,False
60,1683493,False,False
61,1489999,False,False
62,1321222,False,False
63,1682725,True,False
64,1361041,False,False
65,150776,False,False
66,831,False,False
67,1642290,False,False
68,2255,False,False
69,40693,False,False
70,1513931,False,False
71,1663007,False,False
72,1668345,False,False
73,1677635,False,False
74,1610917,False,False
75,1371185,False,False
76,1159559,False,False
77,1494235,False,False
78,467905,False,False
79,1243690,False,False
80,735726,False,False
81,15096,False,False
82,80027,False,False
83,1504329,False,False
84,1624314,False,False
85,927193,False,False
86,1683494,False,False
87,1683495,False,False
88,13550,False,False
89,1317288,False,False
90,1418665,False,False
91,107353,False,False
92,1296038,True,False
93,1683103,False,False
94,1450300,False,False
95,862739,False,False
96,1683496,False,False
97,646161,False,False
98,1117321,False,False
99,1290792,False,False
0,1649867,False,False
1,1147384,False,False
2,1137205,False,False
3,1422138,False,False
4,14929,False,False
5,1003986,False,False
6,1682590,False,False
7,835865,False,False
8,12689,False,False
9,1683497,False,False
10,1682658,False,False
11,1418520,False,False
12,9776,False,False
13,84165,False,False
14,229582,False,False
15,1683498,False,False
16,84995,False,False
17,84682,False,False
18,851083,False,False
19,450179,False,False
20,852606,False,False
21,1669051,False,False
22,1683499,False,False
23,731684,False,False
24,1539688,False,False
25,85449,False,False
26,1683500,False,False
27,1212763,False,False
28,1649846,False,False
29,10547,False,False
30,30112,False,False
31,1102883,False,False
32,869328,False,False
33,1683501,False,False
34,1065738,True,False
35,928730,False,False
36,8413,False,False
37,781425,False,False
38,93178,False,False
39,790984,False,False
40,795092,False,False
41,11422,False,False
42,79855,False,False
43,974782,False,False
44,9355,False,False
45,931285,False,False
46,414906,False,False
47,83415,False,False
48,836254,False,False
49,84004,False,False
50,843273,False,False
51,444935,False,False
52,1111017,False,False
53,1008321,False,False
54,15378,False,False
55,1679223,False,False
56,1076142,False,False
57,285463,False,False
58,1464013,False,False
59,1683502,False,False
60,1564982,False,False
61,1319522,False,False
62,903,False,False
63,1683281,False,False
64,30600,False,False
65,1365302,False,False
66,1418512,False,False
67,260680,False,False
68,34549,False,False
69,539745,False,False
70,1612488,False,False
71,976893,False,False
72,31522,False,False
73,1083110,False,False
74,1127384,False,False
75,324857,False,False
76,137578,False,False
77,10764,False,False
78,228707,False,False
79,1612018,False,False
80,1683503,False,False
81,1683504,False,False
82,1628496,False,False
83,1683505,False,False
84,1283515,False,False
85,1536641,False,False
