,adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
15,False,/tkj4i4TQP6TijYxqUq6duPZUW2R.jpg,"[28, 53, 9648]",77948,The Cold Light of Day,en,The Cold Light of Day,"After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase.",11.2833,/jLmKMhibZjHUYtsHQLIa5UBwqcc.jpg,2012-04-04,False,False,5.386,984
16,False,/zGs5tZOlvc9cprdcU6kDOVNpujf.jpg,"[53, 9648, 18]",567,Rear Window,en,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,10.4406,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,1954-08-01,False,False,8.34,7114
17,False,/k6tdiMTO39RQj3dhfspuzprfoe0.jpg,"[80, 28, 53]",941109,Play Dirty,en,Play Dirty,"Expert thief Parker gets a shot at a major heist, but to pull it off he and his team must outsmart a South American dictator, the New York mob, and the world's richest man.",11.6593,/ovZ0zq0NwRghtWI1oLaM0lWuoEw.jpg,2025-09-30,False,False,6.566,603
18,False,/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,"[16, 28, 14]",635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",11.1604,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,2020-10-16,False,False,8.197,4459
19,False,/A9vaGg3tfuhB5qctaIKlsG2Gnpy.jpg,"[16, 12, 10751, 878, 14]",192904,Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,ja,映画ドラえもん のび太のワンニャン時空伝,"Nobita, believing he and Doraemon had done a good deed by saving stray cats and dogs and sending them back in time by 300 million years, discover that the usage of Doraemon's Ray of Evolution had created a cat-and-dog-person society equal to Nobita's time. When an asteroid attack is set to hit the city, Nobita and his friends must save Doraemon and ease tensions between the two sides.",6.9855,/gBYEK5Kv8uVZGoTbBcovIcWjKNI.jpg,2004-03-06,False,False,7.3,30
0,False,/wVg11RahrRfghgqViuoJgcJL1iM.jpg,[35],264980,Loves of a French Pussycat,de,Das Mädchen mit der heißen Masche,"Rolf, a sex-advice columnist and a lecher, has affairs with numerous women, but never a permanent relationship. Suzanne, one of his ex-lovers, offers to bet that no woman can get Rolf to propose marriage, a bet her girlfriend Andrea eagerly accepts. But there's a catch: To win the bet, Andrea must get the womanizing Rolf to commit to marriage without first going to bed with him.",8.4583,/pdTvop9C03TkoWCK0KIgfTIqLlg.jpg,1972-03-09,False,False,3.714,7
1,False,/irpJXGiVr539uuspcQcNdkhS2lq.jpg,"[16, 28, 35, 10751, 878]",38055,Megamind,en,Megamind,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",11.0027,/uZ9ytt3sPTx62XTfN56ILSuYWRe.jpg,2010-10-28,False,False,7.022,7430
2,False,/3q35nBLCIdEbxYfsr7D5ocYQXKz.jpg,"[18, 10751, 14]",1585,It's a Wonderful Life,en,It's a Wonderful Life,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",11.7612,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,1946-12-20,False,False,8.28,4866
3,False,/jDz6RYN3nKYtlo7J9IMvGoJit7B.jpg,"[18, 12, 28, 36]",79,Hero,zh,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",10.9839,/vxgZto2Cz7ILHAlmRXt50I2brB2.jpg,2002-12-19,False,False,7.511,2478
4,False,/tyj0QztA0PkYo6XauifWjkx7UVi.jpg,"[16, 10751, 14, 12]",12092,Alice in Wonderland,en,Alice in Wonderland,"On a golden afternoon, wildly curious young Alice tumbles into the burrow and enters the merry, madcap world of Wonderland full of whimsical escapades.",11.2725,/20cvfwfaFqNbe9Fc3VEHJuPRxmn.jpg,1951-07-28,False,False,7.186,6246
5,False,/mNQtUJv1F3u0uSKILFrGjIHqkxx.jpg,"[37, 18, 12]",281957,The Revenant,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",11.7505,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,2015-12-25,False,False,7.54,19233
6,False,/zN41DPmPhwmgJjHwezALdrdvD0h.jpg,"[28, 878, 27]",615656,Meg 2: The Trench,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,11.1221,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,2023-08-02,False,False,6.378,3931
7,False,/nVodCGKYLpqNC8YwQAbivKlWCgZ.jpg,"[28, 12, 14]",293167,Kong: Skull Island,en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",12.5377,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,2017-03-08,False,False,6.552,11089
8,False,/jPu8yiadqgzwFPGKJmGo637ASVP.jpg,"[878, 28, 12]",1724,The Incredible Hulk,en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",12.8598,/gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg,2008-06-12,False,False,6.235,12620
